word,emotion
абакус,trust
напушти,fear
напушти,sadness
напуштени,anger
напуштени,fear
напуштени,sadness
напуштање,anger
напуштање,fear
напуштање,sadness
напуштање,surprise
игумен,trust
киднапирање,fear
киднапирање,sadness
киднапирање,surprise
аберација,disgust
одвратам,anger
одвратам,disgust
одвратам,fear
одвратни,anger
одвратни,disgust
одвратни,fear
абјект,disgust
абнормални,disgust
укинување,anger
мерзост,anger
мерзост,disgust
мерзост,fear
абортус,disgust
абортус,fear
абортус,sadness
неуспешен,sadness
нагло,surprise
апсцес,sadness
отсуство,fear
отсуство,sadness
отсутен,sadness
отпуштање,joy
отпуштање,trust
изобилство,anticipation
изобилство,disgust
изобилство,joy
изобилство,trust
злоупотреба,anger
злоупотреба,disgust
злоупотреба,fear
злоупотреба,sadness
бездна,sadness
бездната,fear
бездната,sadness
академски,trust
забрза,anticipation
несреќа,fear
несреќа,sadness
несреќа,surprise
случајно,fear
случајно,surprise
признание,anticipation
признание,joy
признание,surprise
признание,trust
придружба,anticipation
придружба,joy
придружба,trust
оствари,joy
остварен,joy
договор,trust
сметка,trust
одговорност,trust
одговорна,trust
сметководител,trust
сметки,trust
акредитирани,trust
точен,trust
проклети,anger
проклети,fear
проклети,sadness
обвинение,anger
обвинение,disgust
обвинети,anger
обвинети,fear
обвинител,anger
обвинител,fear
обвинувајќи,anger
обвинувајќи,fear
болка,sadness
постигне,joy
постигне,trust
достигнување,anticipation
достигнување,joy
достигнување,trust
болки,sadness
стекнување,anticipation
акробат,fear
акробат,joy
акробат,trust
актуелен,anger
актуелен,disgust
седерот,anger
седерот,disgust
седерот,fear
седерот,sadness
адреси,anticipation
придржувајќи се,trust
судијата,fear
административно,trust
восхитувачки,joy
восхитувачки,trust
адмирал,trust
восхит,joy
восхит,trust
му се восхитувам,trust
допуштена,trust
опомена,fear
симпатична,joy
обожување,joy
обожување,trust
обожавам,anticipation
обожавам,joy
обожавам,trust
бегам,anticipation
бегам,fear
бегам,sadness
прељуба,disgust
прељуба,sadness
однапред,anticipation
однапред,fear
однапред,joy
однапред,surprise
доаѓањето,anticipation
доаѓањето,joy
доаѓањето,trust
авантура,anticipation
противник,anger
негативни,anger
негативни,disgust
негативни,fear
негативни,sadness
катастрофа,anger
катастрофа,fear
катастрофа,sadness
совет,trust
препорачливо,trust
советува,trust
советник,trust
застапување,anger
застапување,anticipation
застапување,joy
застапување,trust
се залага,trust
естетика,joy
љубов,joy
љубов,trust
потврди,trust
потврдно,trust
вознемири,fear
вознемири,sadness
болка,disgust
болка,fear
навреда,anger
навреда,disgust
навреда,fear
навреда,sadness
навреда,surprise
се плаши,fear
последиците,anger
последиците,disgust
последиците,fear
последиците,sadness
отежнат,anger
отежнувачки,anger
отежнувачки,sadness
влошување,anger
влошување,disgust
агресија,anger
агресија,fear
агресивен,anger
агресивен,fear
агресор,anger
агресор,fear
вознемирен,disgust
вознемирен,fear
вознемирен,surprise
вознемирен,anger
агитација,anger
агонизирачки,fear
агонија,anger
агонија,fear
агонија,sadness
согласна,trust
се согласија,trust
согласувајќи се,trust
ail,sadness
болен,fear
болен,sadness
аеродром,anticipation
воздух,disgust
слично,trust
аларм,fear
аларм,surprise
алармантно,fear
алармантно,surprise
алкохолизам,anger
алкохолизам,disgust
алкохолизам,fear
алкохолизам,sadness
будност,anticipation
будност,fear
будност,surprise
сигнали,anticipation
сигнали,fear
сигнали,surprise
странец,disgust
странец,fear
отуѓи,anger
отуѓи,disgust
отуѓен,sadness
отуѓување,anger
отуѓување,disgust
отуѓување,fear
отуѓување,sadness
